book_id,author
86167,"Brewis, Henry."
86019,"Brewis, Henry."
87009,"Breyfogle, Norm."
101237,Brick
97177,"Briggs, Austin"
90560,"Briggs, Clare."
90560,"Briggs, Clare."
98695,"Briggs, Kathryn"
96162,"Briggs, Raymond"
89954,"Briggs, Raymond."
90538,"Briggs, Raymond."
90540,"Briggs, Raymond."
86067,"Briggs, Raymond."
86158,"Bright, M. D."
98670,"Brill, Ian"
100424,"Briones, Philippe"
87127,British Animation Awards (Organization)
88337,British Cartoon Archive.
93752,British Council.
86700,British E.R.B. Society.
91563,British Library.
98970,British Museum.
88940,British Museum.
98698,"Britt, Fanny"
98623,"Britton, David"
97493,"Britton, David."
99624,"Britton, David."
96059,"Britton, David."
89627,"Brizuela, Dario."
86085,"Broadfoot, Dave."
87911,"Broadley, John"
89469,"Brockbank, Adam."
95947,"Brockbank, Russell Partridge"
91286,"Brockbank, Russell."
92471,"Brod, Harry"
90826,Brodnax-IOU.
89295,"Bronte, Charlotte,"
89296,"Bronte, Charlotte,"
89394,"Bronte, Charlotte,"
89364,"Bronte, Emily,"
