Author-Any,BL Record ID
"Arbuckle, Ivor.",7439673
Arcana Studio.,15885005
Arcana Studio.,15885006
Arcana Studio.,15899587
Arcana Studio.,15899588
Arcana Studio.,15955919
Arcana Studio.,15955920
Arcana Studio.,15964522
Arcana Studio.,15964523
Arcana Studio.,15986738
Arcana Studio.,15986739
"Archer, Rebecca.",12693989
"Arcudi, John.",10731286
"Arcudi, John.",12029167
"Arcudi, John.",12029311
"Arcudi, John.",12029331
"Arcudi, John.",12029381
"Arcudi, John.",12029128
"Arcudi, John.",12029158
"Arcudi, John.",12029319
"Arcudi, John.",12029355
"Ardizzone, Sarah",15572447
"Ardizzone, Sarah",16095040
"Ardizzone, Sarah",16548484
"Arendts, Amy.",12286423
"Arendts, Amy.",12286423
Arkadia.,12028517
"Arlem, Renato",16444310
"Armstrong, Rob.",6938116
"Armstrong, Rob.",6954524
"Armstrong, Tom",12030852
"Armstrong, Tom",12634359
"Armstrong, Tom",12634360
"Arndt, Walter",8748575
"Arno, Peter.",6978625
"Arno, Peter.",7654682
"Arno, Peter.",8091421
"Arno, Peter.",8091464
"Arno, Peter.",10284013
"Arnold, Andrew S.",9478101
"Aronofsky, Darren.",13349291
"Aronofsky, Darren.",13596489
"Arsenault, Isabelle",16547819
Art Studuim (Firm),10687586
Art Studuim (Firm),10687587
Art Studuim (Firm),10687588
Art Studuim (Firm),10687589
"Artell, Mike.",12654597
"Artell, Mike.",12654597
Arten,16281273
Arten.,15789163
"Arthur, Sam",16087316
"Artibani, Francesco.",14641732
Artie.,11572110
Arts & Humanities Research Council (Great Britain),15284282
Arts for the Earth.,7374538
"Arzeno, Rey.",15987027
"Asamiya, Kia",6955661
"Asamiya, Kia",10138609
"Asamiya, Kia.",6965125
"Asbury, J. M. S.",9477936
"Ashford, David.",9917302
"Ashford, David.",9918561
"Ashford, David.",14874496
"Ashford, David.",15737224
"Ashibe, Yuuho.",6965586
"Ashley, Bernard",7041965
"Ashley, Bernard",7042130
"Ashley, Bernard.",8080303
"Ashley, Bernard.",8080671
Ashmolean Museum.,7449161
Ashmolean Museum.,12044744
Ashmolean Museum.,15645292
"Ashmore, Brian.",6892919
"Ashmore, Brian.",10761827
"Ashton, David",11326649
"Ashton, David",11326652
"Askwith, Mark.",12029082
"Aspel, Michael.",11940564
"Asquith, Ros.",9374643
"Asquith, Ros.",9374644
"Asquith, Ros.",9388484
"Asquith, Ros.",9388494
"Asquith, Ros.",10369020
"Asquith, Ros.",11326117
"Asso, Bernard.",10663911
Associated Newspapers Group.,8827249
Association for Scottish Literary Studies.,15452292
Association Internationale Des Hum:oristes.,10928935
Association of Comics Enthusiasts.,5611706
"Assouline, Pierre.",15331430
"Astorigin, Luke.",15814547
"Astrop, John.",9440219
"Athanassoglou-Kallmyer, Nina",9391550
"Atherton, Bernard.",10304784
"Atiyeh, Michael.",15484339
"Atiyeh, Michael.",15986408
"Atkins, Robert Q.",15109656
