title,release_date,pages,publisher,description,barcode,isbn,edition,category,rating,book_id,image_fpath,summary,price
Tintin :dream and reality,01/01/2001,,John Murray,,7045087,719555221,1,"Herge, / 1907-1983 / Sources.",,99206,,,
Tintin :Herg_e and his creation,01/01/1992,,Sceptre,,11311401,340564628,1,"Herge, / 1907-1983.",,99217,,,
"The adventures of Herge, creator of Tintin ",01/01/2007,,John Murray,,13783949,9.78E+12,1,"Herge, / 1907-1983.",,99221,,,
Herge :the man who created Tintin,01/01/2009,,Oxford University Press,,15331430,9.78E+12,1,"Herge, / 1907-1983.",,99222,,,
Herge :the genius of Tintin : a biography,01/01/2011,,Icon,,15830861,9.78E+12,1,"Herge, / 1907-1983.",,99223,,,
How to draw comic book heroes,01/01/2010,,Book House,,15624733,9.78E+12,1,Heroes / Caricatures and cartoons / Juvenile literature.,,99228,,,
"JLA, year one",01/01/1999,,Titan,,10761573,1840230827,1,Heroes / Caricatures and cartoons.,,99229,,,
Marvel heroes.,01/01/2008,,Panini UK,,14681998,,1,"Heroes / Comic books, strips etc / Juvenile fiction.",,99230,,,
Marvel super heroes.,01/01/2011,,Panini UK,,15815196,,1,"Heroes / Comic books, strips etc / Juvenile fiction.",,99231,,,
The death and return of Donna Troy,01/01/2006,,Titan,,13435822,9.78E+12,1,"Heroes / Comic books, strips, etc.",,99234,,,
Wolverine annual.,01/01/2014,,Panini Publishing,,16165017,,1,"Heroes / Comic books, strips, etc.",,99238,,,
"World without grown-ups :featuring Robin, Superboy, Impulse",01/01/1999,,[Titan Books],,10761563,1840230622,1,"Heroes / Comic books, strips, etc. / Fiction.",,99239,,,
Crisis on infinite earths,01/01/2001,,Titan Books,,10761652,1840232676,1,"Heroes / Comic books, strips, etc. / Fiction.",,99240,,,
To reach the stars,01/01/2003,,DC Comics,,10761804,1840235632,1,"Heroes / Comic books, strips, etc. / Fiction.",,99241,,,
JLA :rock of ages,01/01/1998,,[Titan],,12029401,1852869402,1,"Heroes / Comic books, strips, etc. / Fiction.",,99245,,,
Kev,01/01/2005,,Titan,,13119203,1845760409,1,"Heroes / Comic books, strips, etc. / Fiction.",,99246,,,
Absolute watchmen,01/01/2005,,Titan,,13302234,1845761685,1,"Heroes / Comic books, strips, etc. / Fiction.",,99247,,,
Marvel legends.,01/01/2006,,Panini,,13555099,,1,"Heroes / Comic books, strips, etc. / Fiction.",,99249,,,
Runaways.,01/01/2007,,Panini,,13568130,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99250,,,
DC Universe presents ...,01/01/2007,,Titan Magazines,,13806885,,1,"Heroes / Comic books, strips, etc. / Fiction.",,99251,,,
The good die young.,01/01/2008,,Panini,,14016565,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99253,,,
Cursed,01/01/2007,,[Titan],,14407967,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99254,,,
Armageddon,01/01/2008,,DC Comics,,14531405,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99256,,,
Ex machina,01/01/2008,,Titan,,14602167,9.78E+12,1,"Heroes / Comic books, strips, etc. / Fiction.",,99260,,,
